all_knowledge,,,,,,,
_id,question_type,act,answers,question,labels,new answers,
"{'model_id': {'article_type': '이사회', 'subtitle': '이사회 구성'}, 'q_num': 'q1'}",MC,상법 제383조 제1항,"['3인 이상의 (상근) 이사를 두고있음.  법률상 문제없음.', '이사의 인원수 명시없음.', '3인 미만의 (상근) 이사를 두고있음.  자본금 총액이 10억원 미만인 회사만이 3명 미만의 이사를 둘 수 있습니다.']",(상근) 이사는 몇 명인가?,"['3인 이상', 'N/D', '3인 미만']","1) 3인 이상 : 귀사의 정관을 검토한 결과, (상근) 이사의 수는 {XX}명입니다. 

2) N/D : 귀사의 정관을 검토한 결과, (상근) 이사의 수에 관한 규정이 포함되어 있지 않습니다.

3) 3인 미만 : 귀사의 정관을 검토한 결과, (상근) 이사의 수는 {XX}명입니다. 다만, 자본금 총액이 10억원 미만인 회사만이 3명 미만의 이사를 둘 수 있으므로, 귀사의 자본금 총액을 확인하시기 바랍니다.",
"{'model_id': {'article_type': '이사회', 'subtitle': '이사 선임'}, 'q_num': 'q1'}",MC,상법 재382조 제1항,"['이사는 주주총회에서 선임하도록함.  이사 선임은 주주총회에서 선임하도록 하는 것도 적법합니다. ', '이사는 이사회에서 선임하도록함. 이사는 이사회에서 선임할 수 없습니다. ', '이사 선임 방식이 명시안됨. 이사 선임방식이 명시되지않은 경우에는 상법에 따라 주주총회에서 이사를 정해야 합니다.. ']",이사는 어디에서 선임하는가?,"['주주총회', '이사회', 'N/D']","1) 주주총회: 귀사의 정관을 검토한 결과 이사를 주주총회에서 선임하도록 하고 있습니다. 상법 제382조 제1항에 의하여 이는 적법합니다. 
2) 이사회: 귀사의 정관을 검토한 결과 이사를 이사회에서 선임하도록 하고 있습니다. 이는 이사를 주주총회에서 선임하도록 정하고 있는 상법 제382조 제1항에 위배되어 위법하므로 해당 조항을 삭제하시거나 이사를 주주총회에서 선임하도록 수정이 필요합니다.
3) N/D: 귀사의 정관은 이사 선임 방식을 명시하지 않고 있습니다. 현재 정관은 적법합니다. 이 경우 상법 제382조 제1항에 따라 주주총회에서 이사를 선임해야 합니다.",
"{'model_id': {'article_type': '이사회', 'subtitle': '이사 선임'}, 'q_num': 'q2'}",MC,상법 제368조 제1항,"['이사를 선임하기 위한 정족수는 보통결의  상법이 요구하는 보통결의(과반 출석, 출석 주주 과반 결의)를 통한 이사 선임은 문제없습니다.', '이사를 선임하기 위한 정족수는 명시안됨.', '이사를 선임하기 위한 정족수가 보통결의 미만. 상법이 요구하는 보통결의(과반 출석, 출석 주주 과반 결의)보다 선임 기준을 쉽게하는 정관 규정은 무효입니다.', '이사를 선임하기 위한 정족수가 보통결의보다 강화되어 있음. 상법보다 이사의 선임을 보통결의(과반 출석, 출석 주주 과반 결의)보다 어렵게 하는 정관은 논란의 여지는 있으나 적법합니다.']",이사를 선임하기 위한 주주총회 정족수는 얼마인가?,"['보통결의', 'N/D', '보통결의 미만', '보통결의보다 강화']","1) 보통결의 : 상법 제368조 제1항은 주주총회 보통결의를 출석한 주주의 의결권의 과반수와 발행주식총수의 4분의 1 이상의 수로써 하여야 한다고 규정하고 있습니다. 이사 선임은 주주총회 보통결의사항이며, 귀사의 정관은 출석한 주주의 의결권의 과반수와 발행주식총수의 4분의 1 이상의 수로써 이사를 선임한다고 규정하고 있습니다.

2) N/D : 상법 제368조 제1항은 주주총회 보통결의를 출석한 주주의 의결권의 과반수와 발행주식총수의 4분의 1 이상의 수로써 하여야 한다고 규정하고 있습니다. 이사 선임은 주주총회 보통결의사항이며, 귀사의 정관에 규정이 없더라도 위 상법 규정에 따라 출석한 주주의 의결권의 과반수와 발행주식총수의 4분의 1 이상의 수로써 이사를 선임하여야 합니다.

3) 보통결의 미만 : 상법 제368조 제1항은 주주총회 보통결의를 출석한 주주의 의결권의 과반수와 발행주식총수의 4분의 1 이상의 수로써 하여야 한다고 규정하고 있습니다. 이사 선임은 주주총회 보통결의사항이므로, 보통 결의 미만으로 이사가 선임된다고 규정된 귀사의 정관은 수정되어야 합니다.

4) 보통결의보다 강화 : 상법 제368조 제1항은 주주총회 보통결의를 출석한 주주의 의결권의 과반수와 발행주식총수의 4분의 1 이상의 수로써 하여야 한다고 규정하고 있습니다. 이사 선임이 주주총회 보통결의사항임에도, 귀사의 정관은 보통결의보다 가중된 정족수로 이사를 선임한다고 규정하고 있는데, 판례는 가중(강화)된 정족수 요건의 경우 적법하다고 보는 입장이므로, 귀사의 경우는 보통결의보다 강화된 정관상의 정족수에 따라 이사를 선임하여야 합니다.",
"{'model_id': {'article_type': '이사회', 'subtitle': '이사 선임'}, 'q_num': 'q3'}",MC,상법 제382조의2 제1항,"['이사 선임에 집중투표제를 명문으로 배제하였음', '이사 선임에 명문으로 집중투표제를 채택함', '이사 선임에 집중투표제 배제 규정없음.  정관에 규정이 없더라도, 3%이상 주주는 상법상 집중투표를 청구할 수 있습니다.']",이사 선임에 집중투표제를 배제하였는가?,"['배제하였음', '규정없음', 'N/D']","1) 배제하였음: 귀사의 정관을 검토한 결과, 이사 선임에 집중투표제를 배제하였습니다. 상법 제382조의2 제1항에 의하여 현재 정관은 적법합니다. 

2) 규정없음: 귀사의 정관을 검토한 결과, 이사 선임에 집중투표제를 배제하는 규정이 없습니다.  상법 제382조의2 제1항에 의하여 현재 정관은 적법하며, 정관에 규정이 없더라도, 3%이상 지분을 소유한 주주는 상법상 집중투표를 청구할 수 있습니다.

3) N/D: 귀사의 정관을 검토한 결과, 이사 선임에 집중투표제를 배제하는 규정이 없습니다.  상법 제382조의2 제1항에 의하여 현재 정관은 적법하며, 정관에 규정이 없더라도, 3%이상 지분을 소유한 주주는 상법상 집중투표를 청구할 수 있습니다.",
"{'model_id': {'article_type': '이사회', 'subtitle': '이사 임기'}, 'q_num': 'q1'}",MC,상법 제382조 제2항,"['이사의 임기는 3년이하  법률상 문제없음 ', ' 이사의 임기는 3년을 초과할 수 없음    예외적으로 최종 결산기에 관한 주주총회 종결까지 연장은 가능합다. 재선임의 경우 사내이사는 제약이 없으나, 사외이사는 상장회사에서 6년 이상, 계열회사 총합 9년 이상 연속 근무가 금지되는 등 제약이 있습니다.  ', '이사의 임기는 명시안됨']",이사의 임기는 몇 년인가?,"['3년이하', '3년초과', 'N/D']","1) 3년 이하: 귀사의 정관을 검토한 결과, 이사의 임기는 {XX}년입니다. 단, 상법 제383조 제3항에 따라 정관으로 그 임기 중의 최종의 결산기에 관한 정기주주총회의 종결에 이르기까지 연장할 수 있는데, 귀사 정관에는 이에 관한 내용이 포함되어 있습니다. 이사의 재선임과 관련해 사내이사에 대한 제약은 존재하지 않으나, 상법 시행령 제34조 제5항 제7호 및 상법 제542조의8 제2항에 따라 상장회사에서 6년을 초과하여 사외이사로 재직했거나 해당 상장회사 또는 그 계열회사에서 각각 재직한 기간을 더하면 9년을 초과하여 사외이사로 재직한 자는 그 직을 상실합니다.

2) 3년 초과: 귀사의 정관을 검토한 결과, 이사의 임기는 {XX}년입니다. 상법 제383조 제2항은 이사의 임기는 3년을 초과하지 못한다고 규정하고 있으므로, 이사의 임기를 3년 이하로 하는 정관 수정이 필요합니다.

3) N/D: 귀사의 정관을 검토한 결과, 이사의 임기에 관한 내용이 포함되어 있지 않습니다. 다만, 상법 제383조 제2항은 이사의 임기는 3년을 초과하지 못한다고 규정하고 있으므로, 이를 고려하여 이사의 임기를 판단하여야 합니다.",
"{'model_id': {'article_type': '이사회', 'subtitle': '이사 임기'}, 'q_num': 'q2'}",MC,상법 제383조 제3항,"['이사의 임기를 임기 중 최종 결산기에 대한 정기주총 종료시까지 연장 할 수 있음 일시적으로 회사 내에 이사가 부족해지는 사태를 미연에 방지하기 위해 규정을 두는 것이 바람직합니다.', '이사의 임기를 임기 중 최종 결산기에 대한 정기주총 종료시까지 연장 할 수 없음 일시적으로 회사 내에 이사가 부족해지는 사태를 미연에 방지하기 위해 규정을 두는 것이 바람직합니다.']",이사의 임기를 임기 중 최종 결산기에 대한 정기주종 종료시까지 연장 할 수 있는가?,"['YES', 'NO']","1) YES: 귀사의 정관을 검토한 결과, 이사의 임기를 임기 중 최종 결산기에 대한 정기주총 종료시까지 연장할 수 있도록 규정하고 있습니다. 상법 제383조 제3항에 의해 이사의 임기는 정관으로 그 임기 중의 최종의 결산기에 관한 정기주주총회의 종결에 이르기까지 연장할 수 있으므로 현재 정관은 적법합니다. 

2) NO: 귀사의 정관을 검토한 결과, 이사의 임기를 임기 중 최종 결산기에 대한 정기주총 종료시까지 연장할 수 없습니다. 상법 제383조 제3항에 의해 이사의 임기는 정관으로 그 임기 중의 최종의 결산기에 관한 정기주주총회의 종결에 이르기까지 연장할 수 있으므로 일시적으로 회사 내에 이사가 부족해지는 사태를 미연에 방지하기 위해 규정을 두는 것이 바람직합니다.",
"{'model_id': {'article_type': '이사회', 'subtitle': '대표이사 선임'}, 'q_num': 'q1'}",MC,상법 제389조 제1항,"['대표이사는 이사회에서 선임한다. 이사회 선임이 원칙으로 적법합니다. ', '대표이사는 주주총회에서 선임한다. 이사회 선임이 원칙이지만 정관으로 주총에서 선임하도록 하는 것도 적법합니다.', '대표이사 선임 방식에 대한 규정없음  대표이사는 이사회에서 선임하도록 하는것이 원칙입니다.  ']",대표이사는 어디서 선임하는가?,"['이사회', '주주총회', 'N/D']","1) 이사회: 귀사의 정관을 검토한 결과, 대표이사는 {XX}에서 선임하는 것으로 규정되어 있습니다.

2) 주주총회: 귀사의 정관을 검토한 결과, 대표이사는 {XX}에서 선임하는 것으로 규정되어 있습니다.

3) N/D: 귀사의 정관을 검토한 결과, 대표이사의 선임에 관한 내용이 포함되어 있지 않습니다. 이 경우, 상법 제389조 제1항에 따라 이사회 결의로 대표이사를 선임합니다.",
"{'model_id': {'article_type': '이사회', 'subtitle': '대표이사 선임'}, 'q_num': 'q2'}",MC,상법 제389조 제2항,"['대표이사 1명을 선임.  법률상 문제없습니다.', '대표이사 2명 이상 선임.  각자 대리가 원칙이나, 주총이나 이사회 결의로 공동대표로 적용할 수 있습니다.', '대표이사 선임 수에 대한 명시없음 일반적으로 1명의 대표이사를 선임하며, 2인 이상인 경우 각자 대리가 원칙이나, 주총이나 이사회 결의로 공동대표로 적용할 수 있습니다. ']",대표이사는 몇 명인가?,"['1명', '2명 이상', 'N/D']","1) 1명: 귀사의 정관을 검토한 결과, 대표이사가 1명입니다. 현재 정관은 적법합니다. 

2) 2명 이상: 귀사의 정관을 검토한 결과, 대표이사가 2명 이상입니다. 상법 제389조 제2항에 의해 여러 명의 대표이사를 선임할 수 있으므로 현재 정관은 적법합니다. 대표이사는 이사회나 주주총회에서 선임하여야 하고, 2명 이상을 선임한 경우에는 각자 대리가 원칙이나 주주총회나 이사회 결의로 공동대표로 정할 수 있습니다. 

3) N/D: 귀사의 정관을 검토한 결과, 대표이사가 몇 명인지 기재되어 있지 않습니다. 현재 정관은 적법합니다. 일반적으로 1명의 대표이사를 선임하며, 2인 이상인 경우 각자 대리가 원칙이나, 주총이나 이사회 결의로 공동대표로 정할 수 있습니다.",
"{'model_id': {'article_type': '이사회', 'subtitle': '집행임원'}, 'q_num': 'q2'}",MC,상법 제400조,"['이사 혹은 집행임원, 감사의 책임 감경조항으로 전부면제함   이사의 책임을 전부 면제하는 것은 주주전원의 동의로만 가능합니다. 이와 같은 정관의 규정은 효력이 없습니다.', '이사 혹은 집행임원, 감사의 책임 감경조항 명시안됨  상법은 최소한 6배(3배)의 한도를 둘 것을 규정하고 있습니다.', '이사 혹은 집행임원, 감사의 책임 감경조항으로 최근 1년 보수액의 6배(사외이사는 3배)보다 낮은 한도 적용  상법은 최소한 6배(3배)의 한도를 둘 것을 규정하고 있습니다.']","이사 혹은 집행임원, 감사의 책임 감경조항이 있는가?","['전부면제', '최근 1년 보수액의 6배', 'N/D']","1) 전부면제 : 상법 제400조 제1항(감사의 경우 상법 제415조에서 준용)은 이사의 상법 제399조에 따른 회사에 대한 책임은 주주 전원의 동의로만 면제할 수 있다고 규정하고 있습니다. 따라서 주주 전원의 동의가 있다면 이사의 책임을 면제할 수 있습니다.

2) 최근 1년 보수액의 6배 : 상법 제400조는 이사의 상법 제399조에 따른 회사에 대한 책임은 주주 전원의 동의로만 면제할 수 있다고 하면서, 정관으로 정하는 바에 따라 제399조에 따른 이사의 책임을 이사가 그 행위를 한 날 이전 최근 1년간의 보수액(상여금과 주식매수선택권의 행사로 인한 이익 등을 포함한다)의 6배(사외이사의 경우는 3배)를 초과하는 금액에 대하여 면제할 수 있다고 하고 있습니다. 귀사의 정관을 검토한 결과, 이사가 그 행위를 한 날 이전 최근 1년간의 보수액의 {XX}배(사외이사의 경우 {XX}배)에 대해 이사의 책임을 면제하도록 되어 있습니다.
단, 이 경우에도 이사가 고의 또는 중대한 과실로 손해를 발생시킨 경우와 경업금지, 회사의 기회 및 자산의 유용금지, 이사와 회사간 자기거래 등에 해당하는 경우에는 면제되지 않습니다.

3) N/D : 귀사의 정관을 검토한 결과, 이사의 책임 감면에 관한 조항이 포함되어 있지 않습니다. 단, 상법 제400조 제1항(감사의 경우 상법 제415조에서 준용)은 이사의 상법 제399조에 따른 회사에 대한 책임은 주주 전원의 동의로만 면제할 수 있다고 규정하고 있습니다. 따라서 주주 전원의 동의가 있다면 이사의 책임을 면제할 수 있습니다.",
"{'model_id': {'article_type': '이사회', 'subtitle': '이사회 소집'}, 'q_num': 'q1'}",MC,"상법 제390조 제3항, 제4항","['이사회 소집기한은 회일로부터 1주일 미만   적법하나, 이사들에게 적절한 통지를 할 수 있는 합리적인 기간을 선정하여야 할 것입니다.', '이사회 소집기한은 회일로부터 1주일 이상  법률에 따라 문제없습니다.', '이사회 소집기한이 명시되지않음  적법하나, 이사들에게 적절한 통지를 할 수 있는 합리적인 기간을 선정하여야 할 것입니다.']",이사회 소집기한은 얼마인가?,"['회일로부터 1주일 미만', '회일로부터 1주일 이상', 'N/D']","1) 회일로부터 1주일 미만: 귀사의 정관을 검토한 결과, 1주일보다 짧은 기간을 두고 이사회 소집통지를 하고 있습니다. 현재 정관은 상법 제390조 제3항, 제4항에 의하여 적법하나, 이사들에게 적절한 통지를 할 수 있는 합리적인 기간을 선정하여야 할 것입니다.

2) 회일로부터 1주일 이상: 귀사의 정관을 검토한 결과, 1주일보다 긴 기간을 두고 이사회 소집통지를 하고 있습니다. 현재 정관은 상법 제390조 제3항, 제4항에 의하여 적법합니다. 

3) N/D: 귀사의 정관을 검토한 결과, 1주일보다 짧은 기간을 두고 이사회 소집통지를 하고 있습니다. 현재 정관은 상법 제390조 제3항, 제4항에 의하여 적법하나, 이사들에게 적절한 통지를 할 수 있는 합리적인 기간을 선정하여야 할 것입니다.",
